Game to Catch in,Catch Methods,Pokemon
Pokémon Sword and Shield," Tower Summit
",Eternatus
Pokémon Sword," Trade
",Zamazenta
Pokémon Shield," Tower Summit
",Zamazenta
Pokémon Sword," Tower Summit
",Zacian
Pokémon Shield," Trade
",Zacian
Pokémon Sword and Shield," Evolve Drakloak, Max Raid Battle (Axew's Eye, Rolling Fields)
",Dragapult
Pokémon Sword and Shield," Evolve Dreepy, Lake of Outrage, Max Raid Battle (Axew's Eye, Rolling Fields)
",Drakloak
Pokémon Sword and Shield," Lake of Outrage, Max Raid Battle (Axew's Eye, Rolling Fields)
",Dreepy
Pokémon Sword and Shield," Route 10, Lake of Outrage, Trade Frosmoth in Wyndon
",Duraludon
Pokémon Sword and Shield," Revive from Fossilized Fish and Fossilized Dino by Cara Liss on Route 6
",Arctovish
Pokémon Sword and Shield," Revive from Fossilized Fish and Fossilized Drake by Cara Liss on Route 6
",Dracovish
Pokémon Sword and Shield," Revive from Fossilized Bird and Fossilized Dino by Cara Liss on Route 6
",Arctozolt
Pokémon Sword and Shield," Revive from Fossilized Bird and Fossilized Drake by Cara Liss on Route 6
",Dracozolt
Pokémon Sword and Shield," Hammerlocke Hills, Lake of Outrage, Dusty Bowl, Giant's Seat (Max Raid Battles)
",Copperajah
Pokémon Sword and Shield," Stony Wilderness (Max Raid Battle)
",Copperajah
Pokémon Sword and Shield," Bridge Field, Dusty Bowl, Giant's Seat (Max Raid Battles)
",Cufant
Pokémon Sword and Shield," Routes 7 and 9, Lake of Outrage, Giant's Mirror, Motostoke Riverbank (Max Raid Battles)
",Morpeko
Pokémon Sword," Glimwood Tangle, Lake of Outrage (Male only), Breed Indeedee (Both genders)
",Indeedee
Pokémon Shield," Glimwood Tangle, Lake of Outrage (Female only), Breed Indeedee (Both genders)
",Indeedee
Pokémon Sword," Trade
",Eiscue
Pokémon Shield," Route 10, Lake of Outrage, Dusty Bowl, Giant's Cap, Giant's Seat, Hammerlocke Hills, Stony Wilderness (Max Raid Battles)
",Eiscue
Pokémon Sword," Route 10, Lake of Outrage, Giant's Seat, Rolling Fields, Stony Wilderness (Max Raid Battles)
",Stonjourner
Pokémon Shield," Trade
",Stonjourner
Pokémon Sword and Shield," Evolve Snom, Giant's Cap, Hammerlocke Hills, Stony Wilderness (Max Raid Battle)
",Frosmoth
Pokémon Sword and Shield," Routes 8 and 10, Lake of Outrage,  Giant's Cap, Hammerlocke Hills, Stony Wilderness (Max Raid Battles)
",Snom
Pokémon Sword and Shield," Route 9, Giant's Mirror, Lake of Outrage, Motostoke Riverbank (Max Raid Battles)
",Pincurchin
Pokémon Sword," Route 8, Lake of Outrage, Max Raid Battle (Dusty Bowl, North Lake Miloch, Rolling Fields, Stony Wilderness)
",Falinks
Pokémon Shield," Route 8, Lake of Outrage, Max Raid Battle (Dusty Bowl, North Lake Miloch, Rolling Fields)
",Falinks
Pokémon Sword and Shield," Evolve Milcery, Bridge Field, Lake of Outrage, Wild Area News (Max Raid Battles)
",Alcremie
Pokémon Sword and Shield," Bridge Field,Wild Area News (Max Raid Battle)
",Alcremie
Pokémon Sword and Shield," Route 4, Bridge Field (Fog), Giant's Mirror (Fog), Max Raid Battle (Bridge Field, Lake of Outrage), Max Raid Battle (Wild Area News, January 30 - February 16, 2020) ^Gigantamax Factor
",Milcery
Pokémon Sword and Shield," Evolve Yamask^Galarian Form, Bridge Field, Dusty Bowl, Giant's Mirror, Rolling Fields, South Lake Miloch, Stony Wilderness, Watchtower Ruins (Max Raid Battles)
",Runerigus
Pokémon Sword and Shield," Evolve Mr. Mime^Galarian Form, Dusty Bowl, Giant's Cap, Hammerlocke Hills, Motostoke Riverbank, Stony Wilderness, Watchtower Ruins (Max Raid Battles)
",Mr. Rime
Pokémon Sword," Evolve Farfetch’d^Galarian Form
",Sirfetch'd
